,index,JV_default_PCE
532,1278,12.85
533,1280,12.85
534,1285,14.02
535,1286,16.14
536,1298,5.52
537,1305,14.26
538,1306,15.21
539,1307,11.17
540,1315,16.81
541,1316,13.27
542,1317,16.42
543,1318,0.7
544,1319,7.1
545,1321,14.5
546,1322,14.5
547,1323,14.5
548,1324,14.5
549,1325,14.5
550,1326,14.5
551,1327,14.5
552,1329,10.5
553,1330,10.5
554,1331,10.5
555,1332,10.5
556,1333,10.5
557,1334,10.5
558,1335,10.5
559,1336,16.71
560,1337,18.61
561,1338,19.71
562,1346,12.75
563,1353,15.6
564,1354,18.82
565,1355,13.2
566,1356,16.52
567,1358,17.2
568,1359,16.2
569,1360,18.33
570,1361,14.7
571,1362,17.7
572,1363,18.0
573,1364,14.86
574,1365,17.21
575,1366,14.86
576,1367,17.21
577,1374,11.92
578,1375,13.8
579,1376,12.5
580,1377,15.2
581,1378,17.4
582,1379,15.26
583,1380,14.98
584,1385,16.69
585,1386,20.0
586,1387,16.17
587,1388,16.2
588,1389,17.22
589,1390,18.78
590,1391,12.3
591,1392,
592,1393,16.81
593,1394,15.51
594,1405,12.0
595,1406,12.5
596,1407,12.5
597,1410,12.54
598,1411,13.31
599,1412,14.52
600,1413,13.77
601,1414,12.48
602,1415,10.14
603,1416,11.1
604,1417,10.11
605,1418,10.4
606,1419,7.9
607,1420,6.2
608,1421,7.6
609,1422,7.1
610,1423,16.62
611,1424,18.93
612,1428,17.04
613,1434,14.68
614,1445,19.1
615,1446,20.1
616,1447,8.62
617,1448,7.97
618,1449,7.92
619,1450,6.39
620,1452,12.3
621,1453,21.1
622,1454,11.0
623,1455,16.7
624,1456,17.5
625,1457,10.06
626,1459,13.12
627,1460,13.12
628,1473,17.1
629,1474,18.61
630,1475,17.1
631,1476,18.61
632,1477,17.1
633,1478,16.1
634,1483,15.26
635,1485,14.96
636,1488,17.11
637,1492,15.49
638,1493,12.85
639,1494,13.98
640,1495,11.08
641,1500,18.0
642,1501,18.0
643,1502,15.73
644,1503,15.73
645,1504,13.1
646,1505,15.9
647,1506,14.2
648,1512,18.16
649,1513,19.26
650,1514,12.5
651,1515,14.2
652,1516,17.1
653,1521,14.3
654,1522,13.2
655,1523,9.0
656,1524,7.1
657,1525,5.6
658,1526,0.1
659,1527,9.73
660,1528,11.52
661,1529,13.15
662,1552,2.54
663,1554,3.57
664,1556,4.66
665,1558,5.2
666,1560,10.22
667,1561,17.77
668,1569,16.8
669,1570,18.5
670,1571,16.7
671,1572,18.4
672,1573,14.69
673,1574,14.24
674,1592,19.0
675,1593,17.1
676,1594,12.72
677,1595,11.32
678,1597,15.3
679,1598,11.75
680,1606,14.5
681,1607,17.5
682,1608,17.0
683,1617,15.5
684,1618,13.6
685,1619,20.2
686,1620,13.5
687,1621,14.6
688,1623,14.0
689,1624,15.92
690,1625,13.76
691,1626,15.66
692,1627,6.83
693,1628,15.37
694,1629,12.76
695,1630,7.93
696,1631,9.0
697,1632,11.7
698,1633,11.6
699,1637,16.5
700,1639,16.5
701,1647,14.19
702,1648,16.39
703,1649,18.04
704,1650,13.72
705,1651,18.13
706,1670,16.23
707,1681,13.8
708,1682,15.08
709,1683,15.81
710,1697,14.0
711,1698,12.5
712,1703,13.57
713,1704,17.79
714,1726,10.8
715,1727,15.2
716,1728,10.8
717,1729,15.2
718,1730,10.8
719,1731,15.2
720,1733,17.36
721,1734,15.25
722,1735,18.31
723,1736,13.24
724,1740,16.48
725,1741,17.46
726,1749,16.0
727,1750,17.1
728,1751,18.5
729,1752,17.5
730,1759,18.0
731,1760,20.8
732,1761,20.2
733,1762,21.6
734,1763,7.18
735,1764,15.63
736,1765,9.05
737,1766,15.13
738,1767,16.8
739,1768,13.54
740,1769,14.73
741,1770,11.15
742,1771,13.91
743,1772,14.18
744,1773,11.77
745,1775,15.5
746,1776,17.8
747,1777,13.5
748,1778,10.08
749,1779,16.44
750,1780,17.91
751,1781,15.76
752,1782,18.31
753,1783,17.57
754,1784,15.2
755,1785,15.5
756,1786,9.41
757,1788,11.82
758,1790,10.06
759,1794,11.13
760,1797,14.63
761,1798,14.7
762,1800,19.31
763,1803,16.94
764,1804,17.16
765,1818,17.52
766,1819,20.05
767,1826,13.27
768,1828,9.74
769,1829,0.64
770,1830,5.55
771,1838,16.65
772,1839,17.29
773,1840,
774,1841,
775,1842,
776,1846,10.0
777,1849,16.19
778,1850,19.24
779,1852,11.59
780,1853,13.26
781,1857,16.96
782,1858,18.2
783,1859,19.0
784,1860,14.47
785,1861,16.7
786,1862,16.96
787,1863,18.2
788,1864,19.0
789,1865,14.47
790,1866,16.7
791,1868,9.89
792,1869,
793,1883,14.07
794,1884,17.87
795,1885,18.09
796,1894,14.69
797,1896,
798,1897,
799,1899,
800,1908,15.38
801,1909,
802,1910,12.06
803,1911,8.92
804,1912,11.75
805,1936,13.58
806,1937,14.42
807,1941,15.28
808,1942,15.62
809,1946,7.88
810,1947,
811,1949,
812,1950,11.58
813,1951,12.31
814,1952,17.2
815,1953,8.0
816,1955,14.29
817,1956,14.29
818,1957,14.29
819,1958,11.15
820,1959,11.15
821,1960,11.15
822,1961,11.96
823,1962,13.33
824,1963,8.63
825,1964,18.9
826,1966,8.72
827,1967,5.48
828,1968,12.46
829,1988,15.03
830,1989,
831,1990,
832,1991,14.3
833,1992,18.09
834,1996,18.0
835,1997,14.9
836,1998,14.5
837,1999,13.2
838,2000,15.1
839,2001,7.8
840,2005,11.74
841,2006,11.79
842,2007,6.05
843,2012,10.7
844,2013,12.3
845,2017,18.39
846,2022,14.0
847,2023,15.35
848,2026,16.68
849,2028,19.6
850,2029,20.9
851,2030,6.75
852,2031,17.01
853,2034,15.93
854,2035,17.71
855,2042,18.87
856,2043,16.2
857,2044,16.5
858,2045,18.0
859,2046,17.71
860,2048,17.21
861,2051,15.1
862,2052,12.18
863,2053,16.79
864,2054,16.34
865,2055,16.99
866,2056,17.37
867,2057,18.21
868,2058,17.21
869,2063,16.3
870,2065,15.0
871,2070,13.0
872,2071,16.9
873,2072,17.2
874,2073,
875,2074,
876,2075,
877,2085,12.97
878,2090,15.44
879,2091,17.56
880,2092,18.91
881,2093,16.85
882,2094,18.69
883,2097,18.7
884,2098,19.7
885,2099,20.2
886,2105,14.4
887,2106,15.0
888,2107,16.3
889,2108,13.7
890,2109,10.7
891,2110,16.39
892,2111,15.3
893,2112,13.2
894,2115,9.5
895,2116,13.5
896,2126,
897,2127,
898,2128,13.8
899,2129,16.8
900,2130,13.28
901,2131,17.29
902,2133,9.4
903,2134,10.2
904,2135,9.9
905,2142,6.96
906,2143,11.32
907,2145,5.52
908,2157,7.29
909,2158,18.01
910,2159,19.46
911,2176,17.01
912,2177,18.11
913,2181,15.0
914,2182,17.0
915,2183,17.0
916,2193,13.65
917,2194,19.5
918,2208,12.1
919,2213,6.12
920,2214,11.4
921,2216,18.6
922,2223,10.15
923,2224,4.2
924,2225,13.87
925,2226,13.83
926,2229,2.12
927,2233,8.1
928,2235,15.4
929,2236,12.2
930,2237,3.4
931,2238,6.28
932,2239,6.8
933,2241,7.62
934,2242,8.74
935,2243,7.15
936,2248,16.97
937,2249,19.35
938,2250,16.94
939,2257,13.3
940,2258,13.8
941,2259,14.8
942,2260,15.0
943,2261,15.2
944,2262,15.3
945,2263,13.8
946,2264,16.5
947,2266,16.3
948,2267,16.6
949,2268,18.2
950,2270,12.7
951,2271,14.6
952,2277,15.1
953,2278,16.1
954,2280,12.96
955,2282,11.18
956,2283,8.5
957,2284,15.1
958,2285,16.9
959,2286,10.9
960,2290,17.85
961,2302,16.0
962,2303,16.0
963,2304,4.49
964,2314,0.9
965,2325,
966,2326,12.17
967,2327,16.7
968,2328,19.7
969,2329,14.52
970,2330,14.4
971,2333,19.05
972,2334,12.17
973,2336,16.0
974,2341,11.33
975,2342,14.14
976,2343,16.53
977,2344,17.63
978,2348,
979,2354,17.01
980,2355,15.2
981,2358,12.06
982,2359,14.21
983,2360,16.5
984,2361,15.2
985,2364,16.38
986,2366,17.6
987,2367,17.6
988,2368,10.51
989,2369,12.59
990,2370,12.74
991,2371,12.07
992,2372,11.92
993,2375,18.0
994,2376,14.4
995,2377,9.94
996,2378,11.02
997,2379,18.17
998,2380,15.05
999,2382,19.8
1000,2383,19.8
1001,2384,15.6
1002,2385,10.3
1003,2386,13.0
1004,2387,18.06
1005,2388,19.81
1006,2389,17.08
1007,2390,13.2
1008,2391,11.6
1009,2393,10.7
1010,2394,14.4
1011,2395,2.57
1012,2396,18.61
1013,2399,15.76
1014,2400,18.6
1015,2410,14.23
1016,2411,11.05
1017,2415,18.5
1018,2416,16.13
1019,2419,16.1
1020,2420,12.6
1021,2421,8.2
1022,2422,13.3
1023,2425,16.2
1024,2426,17.9
1025,2427,16.9
1026,2428,18.2
1027,2429,9.84
1028,2430,6.62
1029,2460,15.98
1030,2461,18.1
1031,2462,15.98
1032,2463,18.1
1033,2464,13.67
1034,2465,11.91
1035,2466,6.76
1036,2468,9.0
1037,2469,9.13
1038,2470,9.23
